City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
327,Tebingtinggi,ID,82.45,light rain,3.3285,99.1625,Hotel Malibou tebing tinggi
329,Sabang,ID,79.97,moderate rain,5.8933,95.3214,Hotel Citra
331,Nisia Floresta,BR,79.18,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
332,Tezu,IN,72.68,moderate rain,27.9167,96.1667,Circuit House
335,Hobyo,SO,79.47,light rain,5.3505,48.5268,Halane Hotel and Restaurent
339,Ballina,AU,78.98,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
341,Trairi,BR,78.71,overcast clouds,-3.2778,-39.2689,janelas do mar
342,Bam,IR,78.75,clear sky,29.106,58.357,Bam Tourist Hotel
343,Manggar,ID,84.88,overcast clouds,-2.8833,108.2667,Guest Hotel
344,Port Moresby,PG,90.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
348,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
354,Presidente Dutra,BR,74.03,clear sky,-5.29,-44.49,Pousada Planalto
359,Buraydah,SA,70.25,clear sky,26.326,43.975,فندق راحة السلام
360,Daru,PG,86.38,broken clouds,-9.0763,143.2092,Daru Lodge
361,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
364,Mapiripan,CO,71.24,overcast clouds,2.8892,-72.1256,Monserrate
366,Wajir,KE,76.96,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
367,Oussouye,SN,82.49,scattered clouds,12.485,-16.5469,Auberge du Routard
368,Wanning,CN,82.29,scattered clouds,18.8003,110.3967,Paradise Hotel
370,Fomboni,KM,77.63,scattered clouds,-12.28,43.7425,Auberge les abou
380,Sola,VU,83.07,overcast clouds,-13.8833,167.55,Leumerus Bungalows
383,Karratha,AU,85.39,few clouds,-20.7377,116.8463,ibis Styles Karratha
384,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
390,Camopi,GF,72.21,overcast clouds,3.1655,-52.3158,La pousada
391,Funadhoo,MV,81.66,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
392,Prabumulih,ID,90.68,light rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
401,Diglur,IN,78.19,broken clouds,18.55,77.6,YASIN DEGLOOR
403,Hasaki,JP,72.28,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
404,Eyl,SO,79.16,scattered clouds,7.9803,49.8164,Amiin Hotel
406,Takoradi,GH,77.13,overcast clouds,4.8845,-1.7554,Raybow International Hotel
407,Marsh Harbour,BS,78.39,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
410,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
411,Bonthe,SL,77.97,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
412,Eydhafushi,MV,81.9,scattered clouds,5.1033,73.0708,Soneva Fushi
415,Haimen,CN,82.29,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
419,Bhandara,IN,82.99,broken clouds,21.1667,79.65,STARiHOTELS Bhandara
422,Buala,SB,84.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
424,Kudahuvadhoo,MV,81.95,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
426,Sambava,MG,73.54,broken clouds,-14.2667,50.1667,Melrose
428,Dingle,PH,85.84,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
430,Ambunti,PG,84.81,overcast clouds,-4.2365,142.8448,Ambunti Lodge
431,Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
433,Rajauri,IN,74.07,clear sky,33.3833,74.3,Hotel Ashoka
435,Kirando,TZ,76.17,broken clouds,-7.4167,30.6,Lakeshore Lodge
436,Buchanan,LR,76.78,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
437,Along,IN,71.76,overcast clouds,28.1667,94.7667,Hotel West
440,Weligama,LK,84.54,broken clouds,5.9667,80.4167,Weligama Bay Resort
443,Victoria,HK,86.05,overcast clouds,22.2855,114.1577,Mini Hotel Central
444,Bodden Town,KY,82.92,few clouds,19.2833,-81.25,Will T Place
446,Kokoda,PG,84.67,broken clouds,-8.8785,147.7407,Daito Guest House
447,Dullewala,PK,83.84,clear sky,31.8359,71.4362,Sajid fruit shop
449,Mahibadhoo,MV,82.26,scattered clouds,3.7833,72.9667,Omadhoo Inn
450,Snyder,US,72.36,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
452,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
453,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
455,Marsa Matruh,EG,70.0,scattered clouds,31.3525,27.2453,Beau Site
457,Aborlan,PH,84.16,overcast clouds,9.4352,118.5492,Kevina Transient House
458,Mayumba,GA,76.08,overcast clouds,-3.432,10.6554,LIKWALE LODGE
460,Kalmunai,LK,85.57,overcast clouds,7.4167,81.8167,VS Villa
462,Barra Do Garcas,BR,76.14,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
464,Cabatuan,PH,85.41,moderate rain,10.8794,122.486,MVC Transient Room
466,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
467,Denpasar,ID,87.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
469,Caravelas,BR,73.38,light rain,-17.7125,-39.2481,Pousada dos Navegantes
470,Kerema,PG,84.83,scattered clouds,-7.9631,145.7785,Frena Lodge
471,Nauta,PE,71.83,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
475,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
476,Puerto Ayacucho,VE,73.02,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
478,Ambanja,MG,71.53,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
479,Kualakapuas,ID,82.56,overcast clouds,-3.0091,114.3876,Guest House Izonk
480,Camacha,PT,70.54,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
485,Lang Son,VN,81.27,overcast clouds,21.8333,106.7333,Khai Nga Hotel
486,Bull Savanna,JM,77.32,overcast clouds,17.8868,-77.5902,Big Red's
488,Coolum Beach,AU,75.34,few clouds,-26.5333,153.1,Palmer Coolum Resort
490,Nizwa,OM,82.58,few clouds,22.9333,57.5333,Orient Apartments
492,Dera Bugti,PK,85.48,clear sky,29.0307,69.151,Nawab Bugti House
493,Noumea,NC,78.01,light rain,-22.2763,166.4572,Hôtel Le Lagon
494,Sirsa,IN,84.47,clear sky,29.5333,75.0167,Hotel Capital
498,Tual,ID,83.3,few clouds,-5.6667,132.75,Grand Vilia Hotel
499,Tucurui,BR,74.28,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
509,Port Augusta,AU,89.71,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
510,Tura,IN,73.36,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
511,Devarkonda,IN,82.02,overcast clouds,16.7,78.9333,Home
513,Baturaja,ID,89.83,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
527,Namatanai,PG,84.25,light rain,-3.6667,152.4333,Seagulls Inn Namatani
528,Kilindoni,TZ,77.9,broken clouds,-7.9139,39.6668,Bustani B&B
529,Baniachang,BD,77.18,overcast clouds,24.5167,91.3667,Khan Palace
530,Atar,MR,80.1,clear sky,20.5169,-13.0499,Oumou Elghoura
532,Parakou,BJ,71.28,overcast clouds,9.3372,2.6303,Benin Metropole Hotel
534,Kokopo,PG,83.43,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
535,Cap Malheureux,MU,77.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
540,Turbat,PK,80.01,clear sky,26.0023,63.044,Mubashar Quarters
550,Kharan,PK,78.39,clear sky,28.5833,65.4167,Dil Aram Bangla
554,Kathu,TH,86.7,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
556,Leon,MX,71.82,overcast clouds,21.1167,-101.6667,ENTERPRISE INN POLIFORUM
561,Alice Town,BS,78.17,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
564,Nsanje,MW,72.19,light rain,-16.92,35.262,Nsanje Discovery Lodge
567,The Valley,AI,83.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
572,Simpang,ID,84.18,light rain,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
581,Mocuba,MZ,70.02,light rain,-16.8392,36.9856,Phama Lodge
583,Port-Gentil,GA,77.68,broken clouds,-0.7193,8.7815,Fengshui Residence
589,Chimore,BO,75.65,overcast clouds,-16.9833,-65.1333,Bichito
590,Kieta,PG,84.7,light rain,-6.2167,155.6333,Uruna Bay Retreat
591,Namuac,PH,83.93,broken clouds,18.6109,121.1657,Mlin Hotel
594,Urucui,BR,77.0,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
597,Nieuw Nickerie,SR,79.2,overcast clouds,5.95,-56.9833,Ishwardat Inn
598,Manthani,IN,80.49,broken clouds,18.65,79.6667,Arepelli kumar muncipal vice chairman
599,Whyalla,AU,87.69,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
609,Selaphum,TH,88.02,overcast clouds,16.0299,103.9383,ศิวิไลซ์โปรเจคท์
619,Los Llanos De Aridane,ES,73.15,clear sky,28.6585,-17.9182,Valle Aridane
621,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
623,Naliya,IN,82.08,few clouds,23.2667,68.8333,jadeja jayendrasinh
625,Wajid,SO,74.41,overcast clouds,3.8093,43.2471,xamdihotelresturant114
626,Port Keats,AU,93.16,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
629,Banjul,GM,79.12,few clouds,13.45,-16.5833,Atlantic Hotel
630,Velingara,SN,74.53,overcast clouds,13.15,-14.1167,Hotel Najla
632,Kapit,MY,78.91,light rain,2.0167,112.9333,Hotel Meligai Kapit
635,Moa,CU,79.75,overcast clouds,20.6569,-74.9403,Carmen
641,Nouakchott,MR,79.84,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
642,Tarrafal,CV,79.59,few clouds,15.2833,-23.7667,Hotel Ixola
643,Moindou,NC,71.55,overcast clouds,-21.6924,165.677,Gite de la RYAWA
644,Flinders,AU,72.81,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
645,Zaraza,VE,74.84,broken clouds,9.3503,-65.3245,Hotel Zaraza
649,Suleja,NG,72.59,moderate rain,9.1758,7.1808,Capy Motel
650,Seguin,US,73.54,overcast clouds,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
655,Sao Felix Do Xingu,BR,73.72,broken clouds,-6.6447,-51.995,Rio Xingu Camping
656,Inhumas,BR,71.33,overcast clouds,-16.3578,-49.4961,Hotel Classic
657,Vinh,VN,82.6,broken clouds,18.6667,105.6667,Khách Sạn Thương Mại
658,Sao Jose Da Coroa Grande,BR,76.12,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
661,Marawi,PH,75.65,broken clouds,7.9986,124.2928,Derogongan Residence
663,Vao,NC,74.3,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
665,Niamey,NE,80.89,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
666,Sungaipenuh,ID,78.17,light rain,-2.0833,101.3833,penginapan citra alam
668,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
675,Samarai,PG,84.15,scattered clouds,-10.6167,150.6667,Nuli Sapi
678,Mackay,AU,91.38,light rain,-21.15,149.2,International Lodge Motel
683,Anloga,GH,79.02,overcast clouds,5.7947,0.8973,Pin Drop Hotel
685,Rafsanjan,IR,71.69,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
687,Pathein,MM,85.05,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
689,Pascagoula,US,75.25,overcast clouds,30.3658,-88.5561,Regency Inn
691,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
693,Puerto Gaitan,CO,74.79,broken clouds,4.3133,-72.0816,Brisas del Yucao
694,Thatta,PK,82.71,clear sky,24.7475,67.9235,We Care Guest House & Shadi lawn
696,Churachandpur,IN,72.68,overcast clouds,24.3333,93.6667,Happiness Home
702,Dakar,SN,82.53,few clouds,14.6937,-17.4441,Redface Studios Meublés
708,San Juan,AR,71.78,clear sky,-31.5375,-68.5364,Hotel Provincial
710,Bilma,NE,80.28,clear sky,18.6853,12.9164,Expeditions Ténére voyages
