City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
188,Bo Phloi,TH,14.3236,99.5161,85.37,71,52,2.62,broken clouds
189,Sainte-Rose,GP,16.3324,-61.6979,77.04,100,0,3.44,clear sky
190,Bengkulu,ID,-3.8004,102.2655,84.06,69,93,5.19,overcast clouds
191,Cherskiy,RU,68.75,161.3,0.66,98,100,2.89,overcast clouds
192,Lucea,JM,18.451,-78.1736,82.26,79,100,11.79,overcast clouds
193,Severo-Kurilsk,RU,50.6789,156.125,36.9,99,100,8.37,light rain
194,Talaya,RU,61.3833,152.75,0.27,86,26,1.57,scattered clouds
195,Tulu Bolo,ET,8.6667,38.2167,50.9,68,23,5.03,few clouds
196,Lungi,SL,9.2212,-12.6831,74.07,97,82,3.13,broken clouds
197,Mahebourg,MU,-20.4081,57.7,77.25,88,40,3.44,light rain
198,Trelleborg,SE,55.3751,13.1569,59.74,91,100,24.11,overcast clouds
199,Leeton,AU,-34.5667,146.4,77.9,35,2,16.11,clear sky
200,East Wenatchee Bench,US,47.4257,-120.2812,56.52,60,1,1.01,clear sky
201,Gorele,TR,41.0308,39.0031,56.64,88,100,7.74,overcast clouds
202,Phalaborwa,ZA,-23.943,31.1411,56.48,68,62,3.24,broken clouds
203,Abakaliki,NG,6.3163,8.1169,72.28,93,100,3.71,overcast clouds
204,Boa Vista,BR,2.8197,-60.6733,76.98,88,20,8.05,few clouds
205,Dunedin,NZ,-45.8742,170.5036,52.21,62,40,5.95,scattered clouds
206,Oregon City,US,45.3573,-122.6068,58.32,82,1,1.01,smoke
207,Grand-Bourg,GP,15.8835,-61.3148,76.95,74,24,14.97,few clouds
208,Altamont,US,42.2068,-121.7372,46.4,69,90,1.01,overcast clouds
209,Kidal,ML,18.4411,1.4078,76.69,16,1,12.88,clear sky
210,Binga,ZW,-17.6203,27.3414,68.88,65,32,3.02,scattered clouds
211,Paamiut,GL,61.994,-49.6678,37.49,51,2,4.12,clear sky
212,Fort Nelson,CA,58.8053,-122.7002,27.99,74,20,4.61,few clouds
213,Margate,GB,51.3813,1.3862,60.89,91,100,4.0,moderate rain
214,Parrita,CR,9.5201,-84.3225,80.06,84,100,2.71,overcast clouds
215,Strezhevoy,RU,60.7333,77.5889,48.18,73,100,10.83,overcast clouds
216,Laguna,US,38.421,-121.4238,64.54,44,1,1.99,clear sky
217,Parkes,AU,-33.1333,148.1833,74.35,37,7,3.0,clear sky
218,Kaitangata,NZ,-46.2817,169.8464,53.92,52,28,8.1,scattered clouds
219,Qasigiannguit,GL,68.8193,-51.1922,30.45,75,100,4.99,overcast clouds
220,Petropavlovka,RU,50.6114,105.3196,42.51,53,15,3.33,few clouds
221,Cayenne,GF,4.9333,-52.3333,82.09,82,0,1.01,clear sky
222,Linxia,CN,35.6003,103.2064,45.07,68,100,1.48,overcast clouds
223,Hualmay,PE,-11.0964,-77.6139,63.16,86,96,8.59,overcast clouds
224,Padang,ID,-0.9492,100.3543,82.45,73,99,2.51,heavy intensity rain
225,Te Anau,NZ,-45.4167,167.7167,56.43,48,0,2.95,clear sky
226,Kapenguria,KE,1.2511,35.0895,57.76,85,99,4.0,overcast clouds
227,Asau,RO,46.4333,26.4,45.39,78,15,6.15,light rain
228,Provideniya,RU,64.3833,-173.3,32.11,74,75,8.95,broken clouds
229,Lorengau,PG,-2.0226,147.2712,84.74,69,100,6.29,overcast clouds
230,Basoko,CD,1.2391,23.616,69.15,97,100,2.51,light rain
231,Mingguang,CN,32.7802,117.9638,53.6,72,100,4.9,light rain
232,Araouane,ML,18.9048,-3.5265,75.16,21,1,16.82,clear sky
233,Uhlove,UA,44.8215,33.6045,46.4,47,17,4.27,few clouds
